iata_code,municipality,country
CFT,Clifton,United States of America
CFV,Coffeyville,United States of America
CGE,Cambridge,United States of America
CGF,Cleveland,United States of America
CGI,Cape Girardeau,United States of America
CGS,College Park,United States of America
CGZ,Casa Grande,United States of America
CHA,Chattanooga,United States of America
CHK,Chickasha,United States of America
CHL,Challis,United States of America
CHO,Charlottesville,United States of America
CHP,Circle Hot Springs,United States of America
CHS,Charleston,United States of America
CHU,Chuathbaluk,United States of America
CHZ,Chiloquin,United States of America
CIC,Chico,United States of America
CID,Cedar Rapids,United States of America
CIG,Craig,United States of America
CIK,Chalkyitsik,United States of America
CIL,Council,United States of America
CIN,Carroll,United States of America
CIR,Cairo,United States of America
CIU,Kincheloe,United States of America
CKA,Cherokee,United States of America
CKB,Bridgeport,United States of America
CKD,Crooked Creek,United States of America
CKE,Lakeport,United States of America
CKK,Ash Flat,United States of America
CKM,Clarksdale,United States of America
CKN,Crookston,United States of America
CKR,Crane Island,United States of America
CKU,Cordova,United States of America
CKV,Clarksville,United States of America
CKX,Chicken,United States of America
CLD,Carlsbad,United States of America
CLE,Cleveland,United States of America
CLG,Coalinga,United States of America
CLI,Clintonville,United States of America
CLK,Clinton,United States of America
CLL,College Station,United States of America
CLM,Port Angeles,United States of America
CLP,Clarks Point,United States of America
CLR,Calipatria,United States of America
CLS,Chehalis,United States of America
CLT,Charlotte,United States of America
CLU,Columbus,United States of America
CLW,Clearwater,United States of America
CMH,Columbus,United States of America
CMI,Savoy,United States of America
CMX,Hancock,United States of America
CMY,Sparta,United States of America
CNE,Penrose,United States of America
CNH,Claremont,United States of America
CNK,Concordia,United States of America
CNM,Carlsbad,United States of America
CNO,Chino,United States of America
CNU,Chanute,United States of America
CNW,Waco,United States of America
CNY,Moab,United States of America
COA,Columbia,United States of America
COD,Cody,United States of America
COE,Coeur d'Alene,United States of America
COF,Cocoa Beach,United States of America
COI,Merritt Island,United States of America
COM,Coleman,United States of America
CON,Concord,United States of America
COP,Cooperstown,United States of America
COS,Colorado Springs,United States of America
COT,Cotulla,United States of America
COU,Columbia,United States of America
CPM,Compton,United States of America
CPR,Casper,United States of America
CPS,Cahokia/St Louis,United States of America
CRE,North Myrtle Beach,United States of America
CRG,Jacksonville,United States of America
CRO,Corcoran,United States of America
CRP,Corpus Christi,United States of America
CRS,Corsicana,United States of America
CRT,Crossett,United States of America
CRW,Charleston,United States of America
CRX,Corinth,United States of America
CSE,Crested Butte,United States of America
CSG,Columbus,United States of America
CSM,Clinton,United States of America
CSN,Carson City,United States of America
CSQ,Creston,United States of America
CSV,Crossville,United States of America
CTB,Cut Bank,United States of America
CTH,Coatesville,United States of America
CTK,Canton,United States of America
CTO,Calverton,United States of America
CTX,Cortland,United States of America
CTY,Cross City,United States of America
CTZ,Clinton,United States of America
CUB,Columbia,United States of America
CUH,Cushing,United States of America
CVG,Cincinnati / Covington,United States of America
CVN,Clovis,United States of America
CVO,Corvallis,United States of America
CVS,Clovis,United States of America
CWA,Mosinee,United States of America
CWF,Lake Charles,United States of America
CWI,Clinton,United States of America
CWS,Center Island,United States of America
CWX,Willcox,United States of America
CXC,Chitina,United States of America
CXF,Coldfoot,United States of America
CXL,Calexico,United States of America
CXO,Houston,United States of America
CYF,Chefornak,United States of America
CYS,Cheyenne,United States of America
CYT,Yakataga,United States of America
CZC,Copper Center,United States of America
CZF,Cape Romanzof,United States of America
CZK,Cascade Locks,United States of America
CZN,Chisana,United States of America
CZO,Chistochina,United States of America
CZT,Carrizo Springs,United States of America
DAA,Fort Belvoir,United States of America
DAB,Daytona Beach,United States of America
DAG,Daggett,United States of America
DAL,Dallas,United States of America
DAN,Danville,United States of America
DAY,Dayton,United States of America
DBN,Dublin,United States of America
DBQ,Dubuque,United States of America
DBS,Dubois,United States of America
DCA,Washington,United States of America
DCK,Dahl Creek,United States of America
DCU,Decatur,United States of America
DDC,Dodge City,United States of America
DEC,Decatur,United States of America
DEH,Decorah,United States of America
DEN,Denver,United States of America
DET,Detroit,United States of America
DFI,Defiance,United States of America
DFW,Dallas-Fort Worth,United States of America
DGL,Douglas,United States of America
DGN,Dahlgren,United States of America
DGW,Douglas,United States of America
DHN,Dothan,United States of America
DHT,Dalhart,United States of America
DIK,Dickinson,United States of America
DJN,Delta Junction,United States of America
DKK,Dunkirk,United States of America
DLF,Del Rio,United States of America
DLG,Dillingham,United States of America
DLH,Duluth,United States of America
DLL,Dillon,United States of America
DLN,Dillon,United States of America
DLS,Dallesport / The Dalles,United States of America
DMA,Tucson,United States of America
DMN,Deming,United States of America
DMO,Sedalia,United States of America
DNL,Augusta,United States of America
DNN,Dalton,United States of America
DNS,Denison,United States of America
DNV,Danville,United States of America
DOV,Dover,United States of America
DPA,Chicago/West Chicago,United States of America
DPG,Dugway Proving Ground,United States of America
DRA,Mercury,United States of America
DRE,Drummond Island,United States of America
DRF,Kenai,United States of America
DRG,Deering,United States of America
DRI,DeRidder,United States of America
DRO,Durango,United States of America
DRT,Del Rio,United States of America
DRU,Drummond,United States of America
DSI,Destin,United States of America
DSM,Des Moines,United States of America
DSV,Dansville,United States of America
DTA,Delta,United States of America
DTH,Death Valley,United States of America
DTL,Detroit Lakes,United States of America
DTN,Shreveport,United States of America
DTR,Decatur,United States of America
DTW,Detroit,United States of America
DUA,Durant,United States of America
DUC,Duncan,United States of America
DUF,Corolla,United States of America
DUG,Douglas Bisbee,United States of America
DUJ,Dubois,United States of America
DUT,Unalaska,United States of America
DVL,Devils Lake,United States of America
DVN,Davenport,United States of America
DVT,Phoenix,United States of America
DWH,Houston,United States of America
DXE,Madison,United States of America
DXR,Danbury,United States of America
DYL,Doylestown,United States of America
DYS,Abilene,United States of America
EAA,Eagle,United States of America
EAN,Wheatland,United States of America
EAR,Kearney,United States of America
EAT,Wenatchee,United States of America
EAU,Eau Claire,United States of America
EBS,Webster City,United States of America
ECA,East Tawas,United States of America
ECG,Elizabeth City,United States of America
ECP,Panama City Beach,United States of America
ECS,Newcastle,United States of America
EDE,Edenton,United States of America
EDF,Anchorage,United States of America
EDK,El Dorado,United States of America
EDW,Edwards,United States of America
EED,Needles,United States of America
EEK,Eek,United States of America
EEN,Keene,United States of America
EFD,Houston,United States of America
EFK,Newport,United States of America
EFW,Jefferson,United States of America
EGE,Eagle,United States of America
EGI,Crestview,United States of America
EGP,Eagle Pass,United States of America
EGV,Eagle River,United States of America
EGX,Egegik,United States of America
EHM,Cape Newenham,United States of America
EIL,Fairbanks,United States of America
EKA,Eureka,United States of America
EKI,Elkhart,United States of America
EKN,Elkins,United States of America
EKO,Elko,United States of America
EKX,Elizabethtown,United States of America
ELA,Eagle Lake,United States of America
ELD,El Dorado,United States of America
ELI,Elim,United States of America
ELK,Elk City,United States of America
ELM,Elmira/Corning,United States of America
ELN,Ellensburg,United States of America
ELP,El Paso,United States of America
ELY,Ely,United States of America
ELZ,Wellsville,United States of America
EMK,Emmonak,United States of America
EMM,Kemmerer,United States of America
EMP,Emporia,United States of America
EMT,El Monte,United States of America
ENA,Kenai,United States of America
END,Enid,United States of America
ENL,Centralia,United States of America
ENN,Nenana,United States of America
ENV,Wendover,United States of America
ENW,Kenosha,United States of America
EOK,Keokuk,United States of America
EPG,Weeping Water,United States of America
EPH,Ephrata,United States of America
ERI,Erie,United States of America
ERR,Errol,United States of America
ERV,Kerrville,United States of America
ESC,Escanaba,United States of America
ESD,Eastsound,United States of America
ESF,Alexandria,United States of America
ESN,Easton,United States of America
ESO,Espanola,United States of America
EST,Estherville,United States of America
ESW,Easton,United States of America
ETB,West Bend,United States of America
ETN,Eastland,United States of America
ETS,Enterprise,United States of America
EUE,Eureka,United States of America
EUF,Eufaula,United States of America
EUG,Eugene,United States of America
EVM,Eveleth,United States of America
EVV,Evansville,United States of America
EVW,Evanston,United States of America
EWB,New Bedford,United States of America
EWK,Newton,United States of America
EWN,New Bern,United States of America
EWR,Newark,United States of America
EYR,Yerington,United States of America
EYW,Key West,United States of America
FAF,Newport News (Fort Eustis),United States of America
FAI,Fairbanks,United States of America
FAM,Farmington,United States of America
FAR,Fargo,United States of America
FAT,Fresno,United States of America
FAY,Fayetteville,United States of America
FBG,Fort Bragg,United States of America
FBK,Fairbanks,United States of America
FBL,Faribault,United States of America
FBR,Fort Bridger,United States of America
FBY,Fairbury,United States of America
FCA,Kalispell,United States of America
FCH,Fresno,United States of America
FCM,Minneapolis,United States of America
FCS,Fort Carson,United States of America
FCY,Forrest City,United States of America
FDK,Frederick,United States of America
FDR,Frederick,United States of America
FDY,Findlay,United States of America
FEP,Freeport,United States of America
FET,Fremont,United States of America
FFA,Kill Devil Hills,United States of America
FFL,Fairfield,United States of America
FFM,Fergus Falls,United States of America
FFO,Dayton,United States of America
FFT,Frankfort,United States of America
FHU,Fort Huachuca / Sierra Vista,United States of America
FID,Fishers Island,United States of America
FIL,Fillmore,United States of America
FKL,Franklin,United States of America
FKN,Franklin,United States of America
FLD,Fond du Lac,United States of America
FLG,Flagstaff,United States of America
FLL,Fort Lauderdale,United States of America
FLO,Florence,United States of America
FLP,Flippin,United States of America
FLT,Flat,United States of America
FLV,Fort Leavenworth,United States of America
FLX,Fallon,United States of America
FME,Fort Meade(Odenton),United States of America
FMH,Falmouth,United States of America
FMN,Farmington,United States of America
FMS,Fort Madison,United States of America
FMU,Florence,United States of America
FMY,Fort Myers,United States of America
FNL,Loveland,United States of America
FNT,Flint,United States of America
FOB,Fort Bragg,United States of America
FOD,Fort Dodge,United States of America
FOE,Topeka,United States of America
FOK,Westhampton Beach,United States of America
FPR,Fort Pierce,United States of America
FPY,Perry,United States of America
